"","source","no_rel","nbpc","year","date_deb","trait","lat","long","no_str","prof_moy","Tmp_fond","Sal_Fond","region","month","day","date","Label","bathymetry","Cfin_mg","Cgla_mg","Chyp_mg","temp","Cal_mg"
"52",16,15,39,2018,"2018-08-28",156,48.7778333333333,-59.408,821,100,1.18,32.26,"NGSL","08",NA,2018-08-28,"45630",91.9635162353516,1065.80148837903,394.801122463506,1881.99295609138,"3C",3342.59556693392
"53",16,15,39,2018,"2018-08-28",159,48.5045,-59.426,835,92,1.2,32.06,"NGSL","08",NA,2018-08-28,"44974",87.7893905639648,1156.9372973728,360.17309898496,1792.74513301263,"3C",3309.85552937039
"54",16,15,39,2018,"2018-08-28",162,48.2758333333333,-59.3541666666667,835,77,1.41,31.91,"NGSL","08",NA,2018-08-28,"44326",104.198799133301,1631.29116436138,386.705138238659,2424.48092439981,"3C",4442.47722699985
"55",16,15,39,2018,"2018-08-29",165,47.9941666666667,-59.4586666666667,820,118,1.68,32.5,"NGSL","08",NA,2018-08-29,"43658",152.424499511719,2747.12262763725,573.242051237179,3993.0228311002,"3C",7313.38750997463
"56",16,15,39,2018,"2018-08-29",168,47.8863333333333,-59.7185,802,419,6.05,34.95,"NGSL","08",NA,2018-08-29,"43428",435.193298339844,1711.81961294833,592.159062522832,2848.95271128193,"3C",5152.9313867531
"57",16,15,39,2018,"2018-08-29",171,47.7858333333333,-60.042,407,495,5.87,34.95,"NGSL","08",NA,2018-08-29,"42977",512.853576660156,3724.79992492422,1431.66122364717,21847.5817192372,"3C",27004.0428678086
"58",16,15,39,2018,"2018-08-30",174,47.6301666666667,-60.253,407,476,5.93,34.95,"NGSL","08",NA,2018-08-30,"42746",476.381103515625,3887.62143875117,1302.80462852251,21874.5039048146,"3C",27064.9299720883
"59",16,15,39,2018,"2018-08-30",177,47.9498333333333,-60.1838333333333,NA,486,NA,NA,"NGSL","08",NA,2018-08-30,"43423",484.706787109375,3747.35489767141,1557.71200341799,22346.3165023061,"3C",27651.3834033955
"60",16,15,39,2018,"2018-08-30",180,48.4226666666667,-59.8056666666667,810,294,6.75,34.74,"NGSL","08",NA,2018-08-30,"44755",299.415191650391,3158.78056178736,1148.19479080954,7334.78011913683,"3C",11641.7554717337
"61",16,15,39,2018,"2018-08-30",183,48.4953333333333,-60.3613333333333,808,388,6.38,34.94,"NGSL","08",NA,2018-08-30,"44963",383.423797607422,2975.07833336129,1288.52484774404,10326.9109850859,"3C",14590.5141661912
"62",16,15,39,2018,"2018-08-31",186,48.3123333333333,-60.218,803,438,6.11,34.95,"NGSL","08",NA,2018-08-31,"44534",440.590209960938,2216.30955170485,1022.53864190276,5953.2647697401,"3C",9192.11296334771
